date,asset,close,volume,industry,market_cap,factor_value
2025-01-02,1,10.85,181959699.0,金融行业,1974262734.15,0.0263698983806835
2025-01-02,100,4.9,587702499.0,光学光电子,101924225990.3,-0.012049759213977142
2025-01-02,1391,8.61,405378115.0,物流,105118467347.25,-0.013277590172696098
2025-01-02,157,6.58,73692664.0,工程机械,56907361852.88,0.005254224197328568
2025-01-02,166,4.98,170593498.0,证券Ⅱ,124698923908.8,-0.020804100559838126
2025-01-02,1979,9.77,108782608.0,房地产开发,88086634310.67,-0.0067307424085017485
2025-01-02,2,7.11,118266605.0,房地产,840875561.5500001,0.02680555984242789
2025-01-02,2001,20.74,19614924.0,化学制品,63742765643.2,0.0026267707737358276
2025-01-02,2027,6.55,143269872.0,广告营销,94596408205.3,-0.009233027310892207
2025-01-02,2028,72.3,6083273.0,电网设备,56571220458.6,0.005383433222033584
2025-01-02,2049,60.61,24391165.0,半导体,51495971990.32,0.007334302457067001
2025-01-02,2142,22.7,35894086.0,金融行业,814795752.1999999,0.026815584631959762
2025-01-02,2179,36.82,14665556.0,电子器件,539985771.92,0.02692121854118787
2025-01-02,2230,46.2,55514657.0,电子信息,2564777153.4,0.026142911185759257
2025-01-02,2236,14.82,49737637.0,仪器仪表,737111780.34,0.02684544548935503
2025-01-02,2241,24.65,107682611.0,电子器件,2654376361.15,0.02610847024380827
2025-01-02,2304,76.2,7740860.0,白酒Ⅱ,114791114638.8,-0.01699564853778916
2025-01-02,2311,46.76,6211553.0,饲料,77796948597.2,-0.0027755013159657385
2025-01-02,2352,38.29,18964093.0,物流,192959790360.61,-0.04704282072296964
2025-01-02,2371,278.14,8024612.0,半导体,201604943814.24,-0.050365921849986076
2025-01-02,2384,29.72,102455861.0,元件,54435375851.04,0.006204428206169392
2025-01-02,2415,28.55,48923150.0,计算机设备,261657082752.5,-0.07344929817822073
2025-01-02,2422,29.0,20605765.0,化学制药,46343547788.0,0.009314837188513203
2025-01-02,2459,13.43,45409736.0,光伏设备,44449445267.68,0.010042909194836832
2025-01-02,2460,33.92,23461498.0,有色金属,795814012.1600001,0.0268228810023548
2025-01-02,2463,38.03,33266750.0,电子器件,1265134502.5,0.026642479409861853
2025-01-02,2466,32.39,19596112.0,化工行业,634718067.6800001,0.02688480449712337
2025-01-02,2475,38.87,69199878.0,电子器件,2689799257.86,0.026094854075094716
2025-01-02,2594,89.3,16878404.0,汽车制造,1507241477.2,0.026549416173356058
2025-01-02,2600,7.79,114643614.0,电子器件,893073753.0600001,0.026785495436403697
2025-01-02,2601,16.58,22005045.0,化工行业,364843646.1,0.026988541232314436
2025-01-02,2625,43.02,72270722.0,汽车制造,3109086460.44,0.025933684723629693
2025-01-02,2648,18.09,39478131.0,化工行业,714159389.79,0.026854268133778128
2025-01-02,2709,18.73,28466361.0,化工行业,533174941.53,0.02692383654886886
2025-01-02,2714,36.45,29709942.0,养殖业,210425656086.00003,-0.05375650584003261
2025-01-02,2736,10.16,53794400.0,证券Ⅱ,104056109489.6,-0.012869231592019996
2025-01-02,2916,92.13,7959202.0,元件,62755878397.35,0.0030061192880811954
2025-01-02,2920,103.16,6089912.0,汽车零部件,61566846769.04,0.0034631698615948483
2025-01-02,2938,34.45,11567125.0,元件,79856857501.20001,-0.003567307457655377
2025-01-02,300014,44.26,24246130.0,电池,95262422784.6,-0.009489035930166848
2025-01-02,300015,12.47,101051865.0,医疗服务,116287696474.9,-0.01757091800095039
2025-01-02,300033,185.99,22429385.0,软件开发,139983513600.0,-0.02667932735612863
2025-01-02,300059,23.8,893769667.0,证券Ⅱ,376136096665.0,-0.11745376174186306
2025-01-02,300122,25.24,20946114.0,生物制品,60419253214.28,0.003904292099116089
2025-01-02,300124,55.95,20415841.0,仪器仪表,1142266303.95,0.026689708582977867
2025-01-02,300251,9.19,69862044.0,传媒娱乐,642032184.36,0.02688199303177312
2025-01-02,300274,70.25,31041100.0,电器行业,2180637275.0,0.02629057029553561
2025-01-02,300308,121.5,26859647.0,机械行业,3263447110.5,0.02587435020135282
2025-01-02,300316,29.87,16079897.0,机械行业,480306523.3900001,0.026944158582577912
2025-01-02,300347,54.69,14802813.0,医疗器械,809565842.9699999,0.026817594951076662
2025-01-02,300394,63.58,15753685.0,通信设备,49428102349.78,0.00812916861761111
2025-01-02,300413,25.55,14413915.0,数字媒体,47796916823.25,0.00875617824683969
2025-01-02,300418,37.17,41160091.0,电子信息,1529920582.47,0.02654069857676431
2025-01-02,300442,49.81,49670222.0,通信服务,81406653371.13,-0.004163031805364588
2025-01-02,300476,41.44,28163640.0,元件,40130799050.72,0.011702948913939686
2025-01-02,300498,15.74,39410588.0,养殖业,104732817134.34,-0.013129350507081226
2025-01-02,300502,80.72,20789909.0,通信设备,1678161454.48,0.026483716429311573
2025-01-02,300628,35.66,6828229.0,通信设备,243494646.14,0.027035186442337874
2025-01-02,300661,59.44,6754603.0,半导体,401493602.32,0.02697445339553131
2025-01-02,300750,247.71,23354576.0,电池,1130568288506.88,-0.40744913087143475
2025-01-02,300759,24.97,18973417.0,医疗服务,45876972191.16,0.009494183674381112
2025-01-02,300760,242.77,6209262.0,医疗器械,294344397221.38,-0.08601393941140391
2025-01-02,300782,84.66,10976975.0,半导体,45288291142.68,0.009720466141910442
2025-01-02,300803,61.59,25129485.0,软件开发,37557084044.85,0.012692256423921997
2025-01-02,300832,64.81,4220455.0,医疗器械,50922434455.85,0.007554763925727595
2025-01-02,300866,91.54,5496626.0,消费电子,503161144.04,0.02693537351982028
2025-01-02,300896,171.41,4398527.0,美容护理,753951513.0699999,0.026838972482818607
2025-01-02,300979,73.11,2017362.0,纺织制造,147489335.82,0.027072089819083597
2025-01-02,300999,31.59,8196612.0,农产品加工,258930973.08,0.02702925288942566
2025-01-02,301,8.0,15467288.0,炼化及贸易,52889845848.0,0.00679851280194755
2025-01-02,301236,55.16,36505552.0,IT服务Ⅱ,57101040684.8,0.005179776201918798
2025-01-02,301269,111.37,9032027.0,软件开发,60745386402.96,0.0037789301176691433
2025-01-02,302132,66.74,16742519.0,军工电子Ⅱ,178335378434.24,-0.0414213589391922
2025-01-02,333,71.4,41367089.0,家电行业,2953610154.6000004,0.025993448091617605
2025-01-02,338,12.91,100826724.0,汽车制造,1301673006.84,0.026628434413945586
2025-01-02,3816,3.85,269349180.0,电力,194420233495.95,-0.04760419887027761
2025-01-02,408,26.32,7450290.0,商业百货,196091632.8,0.02705340763504417
2025-01-02,425,7.54,106961469.0,机械行业,806489476.26,0.026818777472328133
2025-01-02,538,55.86,9716457.0,生物制药,542761288.02,0.026920151663574945
2025-01-02,568,114.1,14946398.0,酿酒行业,1705384011.8,0.02647325238013123
2025-01-02,596,161.97,3949405.0,酿酒行业,639685127.85,0.026882895214270553
2025-01-02,600009,32.78,14327978.0,航空机场,81566901451.2,-0.004224629390455366
2025-01-02,600010,1.81,423627237.0,普钢,81972401019.88,-0.004380498928331458
2025-01-02,600011,6.32,59291369.0,电力,99211950028.88,-0.011007190409094928
2025-01-02,600015,7.25,69362442.0,银行Ⅱ,115383231393.0,-0.01722325165250092
2025-01-02,600016,3.84,368396725.0,银行Ⅱ,168124487047.68,-0.037496405512220665
2025-01-02,600018,5.78,49328419.0,交通运输,285118261.82,0.027019186786008037
2025-01-02,600019,6.7,89251555.0,钢铁行业,597985418.5,0.026898924120163384
2025-01-02,600023,5.15,49656401.0,电力行业,255730465.15,0.027030483129185573
2025-01-02,600025,9.07,50141167.0,电力,454780384.69,0.026953970547251217
2025-01-02,600026,11.11,28802187.0,交通运输,319992297.57,0.027005781593361547
2025-01-02,600027,5.2,69136550.0,电力行业,359510060.0,0.026990591403670564
2025-01-02,600028,6.31,171978677.0,石油行业,1085185451.87,0.026711649829584485
2025-01-02,600029,6.34,56405497.0,航空机场,114886925188.12,-0.017032477050566066
2025-01-02,600030,26.93,282848733.0,证券Ⅱ,399117326104.97,-0.1262874915144816
2025-01-02,600031,15.25,85389428.0,工程机械,140223817664.25,-0.02677169757384877
2025-01-02,600036,35.98,64200070.0,金融行业,2309918518.6,0.026240876019012517
2025-01-02,600039,6.81,29584528.0,基础建设,59216972292.45,0.0043664355541459185
2025-01-02,617,6.51,87625016.0,机械行业,570438854.16,0.0269095127140495
2025-01-02,625,12.62,132417427.0,汽车制造,1671107928.74,0.026486427726394004
2025-01-02,63,37.2,329999755.0,电子信息,12275990886.0,0.02241002830836509
2025-01-02,630,3.05,163786588.0,工业金属,40898888105.5,0.01140770399812889
2025-01-02,651,42.38,95253245.0,白色家电,237387575303.58,-0.06412036862384994
2025-01-02,661,94.9,4677708.0,生物制品,38713271502.100006,0.01224783078557587
2025-01-02,708,10.63,22588822.0,特钢Ⅱ,53651291464.03001,0.006505821550327422
2025-01-02,725,4.19,750407680.0,光学光电子,155215734588.16,-0.0325344242036535
2025-01-02,768,26.44,44024318.0,航空装备Ⅱ,73519331969.40001,-0.0011312329159852094
2025-01-02,776,15.02,70142000.0,证券Ⅱ,117529179575.22,-0.018048130338703974
2025-01-02,792,16.25,63977506.0,农化制品,85988053791.25,-0.005924071326649396
2025-01-02,807,13.38,47145741.0,工业金属,46401270078.9,0.009292649379936685
2025-01-02,858,127.92,25564735.0,白酒Ⅱ,496535295999.6,-0.16373387893662353
2025-01-02,876,8.76,30560388.0,养殖业,39444311076.12,0.011966827279351302
2025-01-02,895,24.46,18277357.0,食品行业,447064152.22,0.026956936581452335
2025-01-02,938,25.93,140204265.0,电子信息,3635496591.45,0.02573133850629359
2025-01-02,963,32.49,19846730.0,生物制药,644820257.7,0.026880921327296376
2025-01-02,975,15.44,53725547.0,贵金属,42872591771.6,0.010649034194013453
2025-01-02,977,48.53,113079818.0,计算机设备,71265172067.15001,-0.00026475884449294316
2025-01-02,983,7.62,44890281.0,煤炭行业,342063941.22,0.026997297498280778
2025-01-02,999,32.4,10927195.0,中药Ⅱ,53920658599.2,0.006402279810407384
2025-01-03,1,10.81,115468044.0,金融行业,1248209555.64,0.026443839069743038
2025-01-03,100,4.83,489907005.0,光学光电子,100468165619.01,-0.012086665714368842
2025-01-03,1391,7.47,362644198.0,物流,91200342750.75,-0.00848765289948991
2025-01-03,157,6.6,65431992.0,工程机械,57080332557.6,0.004762314830202109
2025-01-03,166,4.89,96188824.0,证券Ⅱ,122445328898.4,-0.02062115039340774
2025-01-03,1979,9.58,72842213.0,房地产开发,86373588198.18001,-0.006613258909023399
2025-01-03,2,7.0,112491516.0,房地产,787440612.0,0.026622771420569236
2025-01-03,2001,20.81,21304725.0,化学制品,63957905160.8,0.0020915180005660803
2025-01-03,2027,6.44,141880677.0,广告营销,93007766235.44,-0.009189537298423587
2025-01-03,2028,70.42,5885648.0,电网设备,55100212236.44,0.005531263321358909
2025-01-03,2049,59.24,15491664.0,半导体,50331981202.880005,0.007382930626401798
2025-01-03,2142,22.67,32918060.0,金融行业,746252420.2,0.026638766205128356
2025-01-03,2179,36.18,13928165.0,电子器件,503921009.7,0.026732871785719904
2025-01-03,2230,44.38,52476776.0,电子信息,2328919318.88,0.026024162480931003
2025-01-03,2236,14.37,37890379.0,仪器仪表,544484746.23,0.02671711949851437
2025-01-03,2241,24.7,106991394.0,电子器件,2642687431.8,0.025902315583838598
2025-01-03,2304,76.67,7470973.0,白酒Ⅱ,115499143823.58,-0.01792370899275099
2025-01-03,2311,46.07,5565573.0,饲料,76648961117.9,-0.002836853384300911
2025-01-03,2352,38.65,20772247.0,物流,194773985307.85,-0.04870884315586756
2025-01-03,2371,277.18,6599604.0,半导体,200909104502.88,-0.051091319916331174
2025-01-03,2384,28.22,91654415.0,元件,51687964553.04,0.0068563558824344985
2025-01-03,2415,27.8,42986278.0,计算机设备,254783429090.0,-0.07201256402491599
2025-01-03,2422,28.74,12722925.0,化学制药,45928053911.28,0.009093126319992912
2025-01-03,2459,13.07,33567159.0,光伏设备,43257948596.32,0.010130019599268715
2025-01-03,2460,32.9,23231696.0,有色金属,764322798.4,0.02663174885880701
2025-01-03,2463,38.38,37644125.0,电子器件,1444781517.5,0.026367503449194776
2025-01-03,2466,31.63,17958721.0,化工行业,568034345.23,0.026707974383227747
2025-01-03,2475,38.89,75841360.0,电子器件,2949470490.4,0.02578318122240508
2025-01-03,2594,89.18,9936476.0,汽车制造,886134929.6800001,0.026584445039159584
2025-01-03,2600,7.6,116971450.0,电子器件,888983020.0,0.02658333902821124
2025-01-03,2601,16.58,26436704.0,化工行业,438320552.31999993,0.026758346688523782
2025-01-03,2625,40.46,66222070.0,汽车制造,2679344952.2000003,0.02588808021404824
2025-01-03,2648,18.11,49637752.0,化工行业,898939688.72,0.02657947251297609
2025-01-03,2709,18.06,27859640.0,化工行业,503145098.4,0.026733173098633586
2025-01-03,2714,36.19,24418067.0,养殖业,208924677469.2,-0.05420404123550751
2025-01-03,2736,9.92,30703143.0,证券Ⅱ,101598091155.2,-0.01252545447224788
2025-01-03,2916,89.88,5480483.0,元件,61223253558.6,0.0031534768123009913
2025-01-03,2920,99.55,6065919.0,汽车零部件,59412365217.7,0.0038567067334871713
2025-01-03,2938,33.94,11341918.0,元件,78674651483.04,-0.003623498283189058
2025-01-03,300014,43.16,20532806.0,电池,92894852403.6,-0.009145688992996755
2025-01-03,300015,12.25,69743371.0,医疗服务,114236109207.5,-0.01743322942343645
2025-01-03,300033,178.65,15783525.0,软件开发,134459136000.0,-0.025286522868557315
2025-01-03,300059,22.68,662108794.0,证券Ⅱ,358435574469.0,-0.11226423961382946
2025-01-03,300122,24.77,17010901.0,生物制品,59294172033.19,0.003902605192243827
2025-01-03,300124,55.59,15341875.0,仪器仪表,852854831.25,0.02659736884040531
2025-01-03,300251,8.67,70730020.0,传媒娱乐,613229273.4,0.02669042364580392
2025-01-03,300274,68.22,27948019.0,电器行业,1906613856.18,0.0261881581456794
2025-01-03,300308,122.39,26789678.0,机械行业,3278788690.42,0.025655295694283483
2025-01-03,300316,28.97,12190523.0,机械行业,353159451.31,0.02679141765872045
2025-01-03,300347,52.75,9619225.0,医疗器械,507414118.75,0.02673151529192266
2025-01-03,300394,61.7,14529353.0,通信设备,47966560474.700005,0.008301504452672864
2025-01-03,300413,24.76,13806134.0,数字媒体,46319047379.4,0.008941290174406107
2025-01-03,300418,35.47,37775700.0,电子信息,1339904079.0,0.026408230948038743
2025-01-03,300442,47.79,41498576.0,通信服务,78105279353.67,-0.003402391598354214
2025-01-03,300476,39.95,22973216.0,元件,38687872154.350006,0.011904736694473011
2025-01-03,300498,15.6,33873476.0,养殖业,103801267299.6,-0.013381023173748095
2025-01-03,300502,82.52,28492390.0,通信设备,2351192022.8,0.026015513227706212
2025-01-03,300628,35.21,6520924.0,通信设备,229601734.04,0.026839399349151208
2025-01-03,300661,58.57,4693232.0,半导体,274882598.24,0.02682181523982573
2025-01-03,300750,246.61,18523758.0,电池,1125547800366.08,-0.41016017166806756
2025-01-03,300759,24.18,15487896.0,医疗服务,44425518125.04,0.009676612390708807
2025-01-03,300760,238.67,4743398.0,医疗器械,289373387505.98,-0.08544502873370835
2025-01-03,300782,82.2,7338688.0,半导体,43972330875.6,0.009852600510190478
2025-01-03,300803,60.56,21953099.0,软件开发,36928998372.4,0.012587767582198761
2025-01-03,300832,65.59,3823864.0,医疗器械,51535295108.15,0.006915642653061213
2025-01-03,300866,89.34,3424835.0,消费电子,305974758.90000004,0.026809741089699187
2025-01-03,300896,167.65,3021691.0,美容护理,506586496.15,0.026731836686103974
2025-01-03,300979,71.38,1970319.0,纺织制造,140641370.22,0.026873945703128357
2025-01-03,300999,31.12,6578846.0,农产品加工,204733687.52,0.026849056462734264
2025-01-03,301,8.26,28409861.0,炼化及贸易,54608765838.06,0.0057221087778094384
2025-01-03,301236,51.94,32943266.0,IT服务Ⅱ,53767731203.2,0.006048711311289499
2025-01-03,301269,107.89,4966216.0,软件开发,58847263527.12,0.004076155060782295
2025-01-03,302132,63.18,15779447.0,军工电子Ⅱ,168822733135.68,-0.038631083744899236
2025-01-03,333,70.8,29642200.0,家电行业,2098667760.0,0.0261135770417005
2025-01-03,338,12.9,120346320.0,汽车制造,1552467528.0,0.026325685285718645
2025-01-03,3816,3.79,164486641.0,电力,191390307779.13,-0.047394845363679765
2025-01-03,408,26.21,11073809.0,商业百货,290244533.89,0.02681584967444413
